date,region,category,product,units,unit_price,discount,revenue,month
2024-07-18,South,Electronics,Laptop,1,276.62,0.0,276.62,2024-07-18
2024-04-02,South,Groceries,Pulses,3,4.3,0.16,10.835999999999999,2024-04-02
2024-11-06,East,Groceries,Rice,1,5.54,0.08,5.0968,2024-11-06
2024-05-08,North,Groceries,Rice,1,6.2,0.18,5.0840000000000005,2024-05-08
2024-10-13,West,Sports,Cricket Bat,7,36.92,0.1,232.596,2024-10-13
2024-08-07,West,Home & Kitchen,Vacuum Cleaner,7,66.1,0.1,416.42999999999995,2024-08-07
2024-01-26,East,Beauty,Face Wash,1,10.56,0.16,8.8704,2024-01-26
2024-12-07,East,Sports,Dumbbells,4,36.33,0.07,135.14759999999998,2024-12-07
2024-11-09,South,Beauty,Moisturizer,9,14.1,0.09,115.479,2024-11-09
2024-09-29,West,Clothing,Sneakers,2,20.46,0.03,39.6924,2024-09-29
2024-05-08,North,Home & Kitchen,Mixer,7,61.47,0.21,339.9291,2024-05-08
2024-01-20,West,Beauty,Face Wash,8,14.56,0.19,94.34880000000001,2024-01-20
2024-12-20,South,Electronics,Smartphone,5,239.4,0.05,1137.1499999999999,2024-12-20
2024-01-04,South,Home & Kitchen,Mixer,6,51.13,0.09,279.1698,2024-01-04
2024-03-03,North,Beauty,Shampoo,1,15.74,0.15,13.379,2024-03-03
2024-03-22,East,Clothing,T-Shirt,2,23.59,0.27,34.4414,2024-03-22
2024-08-15,West,Beauty,Perfume,9,11.06,0.14,85.6044,2024-08-15
2024-05-14,East,Clothing,Jacket,5,25.58,0.06,120.22599999999998,2024-05-14
2024-04-26,North,Home & Kitchen,Vacuum Cleaner,2,60.54,0.07,112.60439999999998,2024-04-26
2024-04-05,North,Electronics,Headphones,2,309.45,0.07,575.5769999999999,2024-04-05
2024-11-25,South,Beauty,Face Wash,7,11.9,0.07,77.469,2024-11-25
2024-01-22,West,Clothing,Jeans,7,28.17,0.09,179.4429,2024-01-22
2024-01-30,North,Clothing,Jacket,3,21.68,0.1,58.535999999999994,2024-01-30
2024-01-27,South,Electronics,Laptop,2,271.21,0.07,504.45059999999995,2024-01-27
2024-01-22,East,Electronics,Laptop,3,312.25,0.24,711.9300000000001,2024-01-22
2024-03-24,West,Electronics,Headphones,9,345.1,0.22,2422.6020000000003,2024-03-24
2024-09-18,South,Clothing,T-Shirt,4,32.11,0.09,116.88040000000001,2024-09-18
2024-10-31,West,Clothing,T-Shirt,2,30.39,0.11,54.0942,2024-10-31
2024-05-28,East,Sports,Cricket Bat,4,31.34,0.0,125.36,2024-05-28
2024-12-08,East,Sports,Dumbbells,5,54.41,0.15,231.24249999999995,2024-12-08
2024-09-20,West,Groceries,Beverages,7,6.76,0.24,35.9632,2024-09-20
2024-04-15,North,Home & Kitchen,Mixer,8,68.11,0.06,512.1872,2024-04-15
2024-05-17,East,Clothing,Jeans,1,23.59,0.07,21.938699999999997,2024-05-17
2024-01-11,East,Sports,Cricket Bat,7,35.87,0.1,225.981,2024-01-11
2024-10-23,South,Sports,Yoga Mat,8,23.04,0.08,169.5744,2024-10-23
2024-10-09,South,Electronics,Headphones,8,225.43,0.13,1568.9928,2024-10-09
2024-04-06,North,Clothing,Jeans,5,20.06,0.16,84.252,2024-04-06
2024-09-25,East,Groceries,Snacks,2,5.85,0.11,10.413,2024-09-25
2024-06-18,South,Home & Kitchen,Vacuum Cleaner,5,72.26,0.01,357.687,2024-06-18
2024-10-17,West,Groceries,Snacks,1,6.95,0.06,6.5329999999999995,2024-10-17
2024-05-05,East,Electronics,Smartphone,7,279.68,0.12,1722.8288,2024-05-05
2024-10-11,South,Home & Kitchen,Vacuum Cleaner,2,62.39,0.31,86.09819999999999,2024-10-11
2024-05-09,South,Groceries,Rice,6,3.83,0.0,22.98,2024-05-09
2024-02-15,South,Sports,Cricket Bat,3,41.79,0.04,120.3552,2024-02-15
2024-10-26,South,Beauty,Perfume,5,16.14,0.13,70.209,2024-10-26
2024-02-26,South,Sports,Yoga Mat,1,38.59,0.0,38.59,2024-02-26
2024-08-12,North,Groceries,Beverages,5,5.3,0.05,25.174999999999997,2024-08-12
2024-12-10,West,Sports,Yoga Mat,9,42.49,0.12,336.5208,2024-12-10
2024-10-27,East,Sports,Football,9,37.51,0.0,337.59,2024-10-27
2024-01-24,North,Beauty,Shampoo,6,12.03,0.16,60.63119999999999,2024-01-24
2024-06-22,West,Home & Kitchen,Vacuum Cleaner,7,67.55,0.2,378.28,2024-06-22
2024-04-05,West,Groceries,Pulses,7,3.79,0.14,22.8158,2024-04-05
2024-05-10,East,Groceries,Beverages,3,5.99,0.09,16.3527,2024-05-10
2024-04-06,West,Beauty,Perfume,5,11.86,0.03,57.520999999999994,2024-04-06
2024-10-21,North,Home & Kitchen,Bedsheet,5,54.69,0.02,267.981,2024-10-21
2024-01-04,North,Groceries,Pulses,7,4.88,0.12,30.060799999999997,2024-01-04
2024-03-09,West,Beauty,Moisturizer,2,14.13,0.23,21.7602,2024-03-09
2024-08-01,North,Clothing,Jacket,3,18.14,0.0,54.42,2024-08-01
2024-05-28,East,Sports,Cricket Bat,5,36.37,0.13,158.2095,2024-05-28
2024-09-06,North,Beauty,Perfume,6,12.38,0.11,66.1092,2024-09-06
2024-10-26,North,Groceries,Beverages,7,4.34,0.29,21.569799999999997,2024-10-26
2024-07-29,North,Clothing,Jeans,5,18.7,0.25,70.125,2024-07-29
2024-03-15,North,Electronics,Laptop,5,443.23,0.24,1684.2740000000001,2024-03-15
2024-04-23,East,Home & Kitchen,Mixer,1,50.03,0.11,44.5267,2024-04-23
2024-03-08,North,Sports,Dumbbells,4,44.77,0.15,152.21800000000002,2024-03-08
2024-04-01,North,Beauty,Shampoo,4,10.82,0.0,43.28,2024-04-01
2024-11-17,West,Home & Kitchen,Mixer,5,53.43,0.09,243.10649999999998,2024-11-17
2024-11-19,East,Sports,Football,9,33.85,0.1,274.18500000000006,2024-11-19
2024-07-03,South,Home & Kitchen,Bedsheet,7,74.67,0.12,459.96720000000005,2024-07-03
2024-09-07,West,Groceries,Rice,6,6.86,0.13,35.809200000000004,2024-09-07
2024-10-08,West,Home & Kitchen,Mixer,4,60.87,0.0,243.48,2024-10-08
2024-05-09,East,Beauty,Perfume,3,11.89,0.19,28.892700000000005,2024-05-09
2024-10-01,North,Home & Kitchen,Vacuum Cleaner,8,52.12,0.18,341.9072,2024-10-01
2024-11-20,South,Home & Kitchen,Vacuum Cleaner,7,61.02,0.25,320.355,2024-11-20
2024-09-26,East,Electronics,Smartphone,6,273.37,0.12,1443.3936,2024-09-26
2024-07-02,West,Home & Kitchen,Bedsheet,1,64.15,0.08,59.01800000000001,2024-07-02
2024-02-02,East,Electronics,Headphones,3,262.94,0.0,788.8199999999999,2024-02-02
2024-04-09,West,Electronics,Headphones,3,260.19,0.19,632.2617,2024-04-09
2024-02-02,West,Clothing,T-Shirt,7,21.44,0.08,138.07360000000003,2024-02-02
2024-01-31,North,Groceries,Pulses,5,6.52,0.16,27.383999999999993,2024-01-31
2024-07-29,West,Groceries,Snacks,9,5.02,0.09,41.1138,2024-07-29
2024-08-25,North,Electronics,Tablet,2,269.23,0.16,452.3064,2024-08-25
2024-03-05,East,Groceries,Pulses,5,4.41,0.17,18.3015,2024-03-05
2024-12-19,West,Home & Kitchen,Bedsheet,8,67.12,0.12,472.5248,2024-12-19
2024-04-19,West,Home & Kitchen,Bedsheet,1,73.31,0.12,64.5128,2024-04-19
2024-12-17,South,Clothing,Jacket,2,25.62,0.14,44.0664,2024-12-17
2024-09-30,North,Clothing,Jacket,6,21.33,0.0,127.97999999999999,2024-09-30
2024-12-07,South,Electronics,Tablet,4,176.2,0.08,648.4159999999999,2024-12-07
2024-10-14,East,Clothing,Sneakers,8,14.81,0.11,105.44720000000001,2024-10-14
2024-05-25,South,Electronics,Smartphone,2,373.19,0.12,656.8144,2024-05-25
2024-08-28,East,Home & Kitchen,Vacuum Cleaner,1,61.94,0.11,55.126599999999996,2024-08-28
2024-01-15,West,Groceries,Beverages,8,5.73,0.13,39.8808,2024-01-15
2024-08-04,North,Electronics,Headphones,9,285.01,0.09,2334.2319,2024-08-04
2024-11-17,South,Beauty,Face Wash,9,12.63,0.04,109.1232,2024-11-17
2024-02-11,North,Sports,Football,3,43.98,0.12,116.10719999999999,2024-02-11
2024-08-10,South,Beauty,Perfume,6,11.84,0.16,59.67359999999999,2024-08-10
2024-02-02,North,Clothing,Jeans,3,28.91,0.07,80.6589,2024-02-02
2024-01-24,South,Sports,Football,7,32.37,0.01,224.3241,2024-01-24
2024-11-13,West,Beauty,Face Wash,2,12.87,0.12,22.6512,2024-11-13
2024-01-07,North,Clothing,T-Shirt,6,19.88,0.19,96.61680000000001,2024-01-07
2024-10-30,West,Home & Kitchen,Mixer,4,47.46,0.2,151.872,2024-10-30
2024-02-12,East,Sports,Cricket Bat,6,44.03,0.09,240.40380000000002,2024-02-12
2024-09-23,South,Home & Kitchen,Vacuum Cleaner,1,56.54,0.17,46.9282,2024-09-23
2024-01-13,East,Sports,Yoga Mat,7,31.89,0.16,187.5132,2024-01-13
2024-04-13,West,Beauty,Moisturizer,9,14.1,0.04,121.82399999999998,2024-04-13
2024-06-22,West,Clothing,Sneakers,3,14.48,0.14,37.358399999999996,2024-06-22
2024-10-31,South,Electronics,Smartphone,6,263.71,0.0,1582.2599999999998,2024-10-31
2024-01-04,East,Beauty,Perfume,5,8.98,0.11,39.961000000000006,2024-01-04
2024-02-20,East,Sports,Dumbbells,7,40.41,0.11,251.7543,2024-02-20
2024-03-16,North,Sports,Yoga Mat,3,45.81,0.1,123.68700000000001,2024-03-16
2024-07-12,West,Electronics,Headphones,8,310.44,0.17,2061.3215999999998,2024-07-12
2024-11-08,South,Home & Kitchen,Cookware,4,82.39,0.17,273.53479999999996,2024-11-08
2024-04-12,East,Electronics,Headphones,1,350.35,0.02,343.343,2024-04-12
2024-05-27,South,Beauty,Face Wash,4,9.0,0.07,33.48,2024-05-27
2024-08-25,South,Beauty,Shampoo,6,11.49,0.08,63.4248,2024-08-25
2024-08-02,North,Clothing,Jacket,8,18.13,0.01,143.5896,2024-08-02
2024-03-26,West,Clothing,T-Shirt,3,17.4,0.01,51.678,2024-03-26
2024-07-26,South,Sports,Yoga Mat,8,38.01,0.07,282.79439999999994,2024-07-26
2024-01-21,West,Groceries,Rice,7,6.16,0.18,35.3584,2024-01-21
2024-03-27,West,Sports,Football,6,45.55,0.13,237.77099999999996,2024-03-27
2024-12-05,West,Beauty,Perfume,5,10.43,0.09,47.4565,2024-12-05
2024-12-03,West,Electronics,Laptop,3,410.39,0.18,1009.5594000000001,2024-12-03
2024-11-05,South,Groceries,Snacks,1,6.58,0.21,5.1982,2024-11-05
2024-03-31,East,Electronics,Tablet,6,267.59,0.14,1380.7644,2024-03-31
2024-06-02,East,Home & Kitchen,Vacuum Cleaner,1,46.55,0.07,43.29149999999999,2024-06-02
