order_id,date,region,category,product,units,unit_price,discount
943048,2024-05-27,South ,Groceries ,Smartphone ,-1,46.61,0.0
870892,2024-08-10,west ,SPORTS,Rice,12,,0.5
662490,2024-08-08,EAST,Groceries ,Rice,16,36.49,0.35
613558,2024-04-18,South ,home & kitchen,Vacuum Cleaner,21,23.63,0.05
639316,2024-08-16,west ,home & kitchen, T-Shirt,14,53.0,0.51
708629,2024-01-21,west ,SPORTS,laptop,23,56.6,0.41
338055,2024-04-09,EAST,SPORTS,Smartphone ,6,66.79,0.18
349315,2024-01-05,South , Beauty,laptop,15,20.27,0.48
305189,2024-06-19,north, Beauty,Smartphone ,12,26.4,0.34
817944,2024-07-15,EAST,home & kitchen,Vacuum Cleaner,21,41.85,-0.01
810323,2024-01-28,north,electronics, T-Shirt,-2,54.82,0.32
808474,2024-09-11,north,electronics,Smartphone ,17,30.71,-0.05
714744,2024-01-27,west ,electronics,Vacuum Cleaner,24,48.26,0.01
447349,2024-03-05,South ,electronics,Smartphone ,1,0.55,0.27
917457,2024-02-20,west ,home & kitchen,Cricket Bat ,3,50.41,0.15
923832,2024-07-15,South , Beauty,Smartphone ,4,56.49,0.23
246687,2024-09-15,EAST,Groceries ,Cricket Bat ,21,15.5,0.53
538897,2024-02-15,EAST,electronics, T-Shirt,17,73.75,0.18
833613,2024-12-31,South ,CLOTHING,laptop,-1,38.6,0.48
411623,2024-01-12,west ,Groceries ,Vacuum Cleaner,22,64.88,0.51
998037,2024-12-03,EAST,Groceries ,laptop,8,30.81,0.17
516762,2024-07-02,EAST,electronics,Cricket Bat ,13,44.22,0.24
333083,2024-09-29,EAST,CLOTHING,Rice,15,54.44,0.42
245402,2024-01-21,north,electronics,Smartphone ,17,67.46,0.6
981919,2024-08-29,west , Beauty,Smartphone ,14,37.02,0.18
592787,2024-10-19,EAST,electronics,Rice,24,29.85,0.25
423023,2024-01-14,South ,electronics,Vacuum Cleaner,-2,44.13,0.32
731638,2024-09-25,west ,SPORTS,Cricket Bat ,23,12.39,0.1
548678,2024-05-13,South ,Groceries , T-Shirt,10,60.82,0.27
133235,2024-10-28,north,CLOTHING,Smartphone ,7,41.27,0.2
151703,2024-05-02,South ,home & kitchen,Rice,15,28.61,0.37
924458,2024-06-22,South ,SPORTS,Cricket Bat ,6,46.71,0.46
755128,2024-05-26,South , Beauty,Rice,20,16.23,0.23
951450,2024-07-23,EAST,Groceries ,Vacuum Cleaner,1,50.98,0.24
419853,2024-05-16,north, Beauty,Vacuum Cleaner,9,41.42,0.01
611805,2024-02-26,South , Beauty,Cricket Bat ,18,48.06,0.58
705092,2024-01-29,EAST,home & kitchen,Smartphone ,21,,0.2
930174,2024-06-26,EAST,electronics,Rice,10,56.38,0.47
671027,2024-06-19,west ,electronics, T-Shirt,24,43.12,0.4
355749,2024-02-08,west ,electronics,Rice,19,34.65,0.29
506784,2024-12-20,north,home & kitchen, T-Shirt,2,59.03,0.23
332021,2024-02-23,EAST,CLOTHING,Cricket Bat ,11,75.32,0.08
490575,2024-07-03,South , Beauty,Smartphone ,3,30.72,0.45
830329,2024-11-05,South , Beauty,Cricket Bat ,3,49.29,0.14
435021,2024-04-20,north,Groceries , T-Shirt,3,92.61,0.35
662985,2024-07-01,EAST,electronics,laptop,22,64.11,-0.02
370580,2024-11-14,north, Beauty,Rice,20,49.01,0.51
357891,2024-10-16,west ,SPORTS, T-Shirt,14,78.79,0.25
885538,2024-01-13,north, Beauty,Cricket Bat ,7,,-0.01
191217,2024-04-06,west ,SPORTS,Smartphone ,22,,0.09
300348,2024-04-19,north,CLOTHING,Rice,17,41.26,0.39
440283,2024-10-12,EAST,home & kitchen,Cricket Bat ,-2,55.64,0.35
795624,2024-11-17,EAST,CLOTHING, T-Shirt,18,43.92,0.06
299309,2024-07-17,South ,home & kitchen, T-Shirt,24,32.99,0.19
570831,2024-02-03,north, Beauty,Cricket Bat ,2,63.49,-0.02
314405,2024-01-26,west , Beauty, T-Shirt,22,,0.11
136155,2024-06-30,west ,home & kitchen, T-Shirt,15,54.94,0.18
806073,2024-03-06,EAST,SPORTS, T-Shirt,2,64.63,0.17
263697,2024-02-13,EAST, Beauty,Rice,8,24.03,0.28
300129,2024-01-21,west ,Groceries ,Smartphone ,18,36.9,0.16
423216,2024-04-04,north,home & kitchen,laptop,12,20.14,0.32
617146,2024-04-12,South ,electronics, T-Shirt,14,58.0,0.19
162919,2024-12-10,north, Beauty,Cricket Bat ,-2,60.97,0.25
949467,2024-05-08,west ,home & kitchen, T-Shirt,14,49.09,0.08
482964,2024-10-25,north,home & kitchen,Smartphone ,13,,0.48
853050,2024-01-10,north,SPORTS,Cricket Bat ,13,77.53,0.43
592853,2024-01-02,west ,SPORTS,Smartphone ,1,24.52,0.32
844612,2024-07-29,north,home & kitchen, T-Shirt,20,,0.07
142979,2024-11-05,north,home & kitchen,laptop,11,,0.12
572854,2024-03-03,west ,home & kitchen,Cricket Bat ,0,67.13,0.2
844417,2024-03-01,EAST,electronics, T-Shirt,4,74.51,0.31
261475,2024-03-21,north,CLOTHING,Cricket Bat ,13,22.55,0.5
217817,2024-01-06,west ,Groceries ,Rice,14,13.0,0.56
589841,2024-04-27,north,SPORTS,Rice,9,80.1,0.29
800195,2024-03-06,South ,Groceries ,Smartphone ,2,41.73,0.24
567732,2024-09-28,west ,Groceries , T-Shirt,21,32.09,0.47
589904,2024-07-11,EAST, Beauty, T-Shirt,20,41.91,0.01
297796,2024-04-22,west ,Groceries , T-Shirt,3,46.69,0.58
510603,2024-10-26,north,Groceries ,Smartphone ,15,60.98,0.28
108964,2024-07-15,north, Beauty,Smartphone ,2,,0.02
936699,2024-08-26,EAST,CLOTHING,Cricket Bat ,3,,0.08
794150,2024-04-03,north, Beauty,Cricket Bat ,11,63.28,0.29
495757,2024-05-01,EAST,home & kitchen,Vacuum Cleaner,13,66.2,0.25
573789,2024-08-08,EAST,electronics, T-Shirt,11,74.34,0.09
904344,2024-11-25,west ,home & kitchen, T-Shirt,12,3.24,0.05
422899,2024-11-21,EAST,home & kitchen,Vacuum Cleaner,24,23.46,0.19
109643,2024-08-26,west ,SPORTS,Vacuum Cleaner,2,34.13,0.51
231587,2024-03-28,EAST, Beauty,Smartphone ,5,48.25,0.56
714169,2024-08-05,west ,SPORTS,Vacuum Cleaner,-2,51.28,0.07
178352,2024-12-06,South ,SPORTS,Smartphone ,8,47.17,0.43
488893,2024-05-17,South ,Groceries , T-Shirt,6,44.58,0.2
644905,2024-11-27,South ,electronics,laptop,24,50.89,0.32
662354,2024-07-18,EAST,CLOTHING,Cricket Bat ,8,54.41,0.18
829584,2024-09-21,north,SPORTS,Cricket Bat ,5,62.3,0.38
898146,2024-08-04,north,CLOTHING,Rice,6,56.19,0.09
209010,2024-06-23,South , Beauty,laptop,-1,36.25,0.16
604265,2024-07-11,west , Beauty,Cricket Bat ,15,69.2,0.31
660618,2024-02-09,South , Beauty,laptop,4,,0.22
649276,2024-03-03,EAST,CLOTHING,Rice,12,28.0,-0.01
966215,2024-08-29,South ,Groceries ,Smartphone ,5,59.59,0.36
323512,2024-10-15,west ,CLOTHING,Vacuum Cleaner,13,71.47,0.16
927894,2024-03-03,South ,Groceries ,laptop,8,41.5,0.56
891999,2024-08-13,South ,Groceries ,laptop,8,56.74,0.41
967185,2024-03-22,west , Beauty,Cricket Bat ,1,76.89,0.28
935383,2024-03-19,north,CLOTHING, T-Shirt,22,38.24,0.47
591064,2024-12-15,west ,SPORTS,Cricket Bat ,1,57.42,0.01
513800,2024-03-26,South , Beauty,Rice,-1,26.46,0.24
322569,2024-04-07,west ,SPORTS, T-Shirt,14,61.41,0.12
472187,2024-12-30,EAST,Groceries ,Vacuum Cleaner,17,33.1,0.49
399055,2024-02-08,EAST, Beauty,Vacuum Cleaner,18,,0.02
269676,2024-12-01,west ,SPORTS, T-Shirt,5,52.47,0.04
927843,2024-07-06,west ,CLOTHING,laptop,22,31.38,0.14
298788,2024-07-13,west ,Groceries ,Rice,6,80.56,-0.02
556535,2024-09-19,west ,home & kitchen,Smartphone ,5,89.23,0.01
842653,2024-09-10,South ,electronics,Cricket Bat ,21,28.07,0.07
921617,2024-01-19,west ,electronics,Rice,14,30.93,0.02
533965,2024-06-18,north,SPORTS,Rice,23,43.8,0.49
975386,2024-11-05,west ,home & kitchen,Vacuum Cleaner,17,62.67,-0.0
609366,2024-12-31,EAST,Groceries ,laptop,5,13.44,0.56
426888,2024-12-20,west ,CLOTHING,Rice,22,55.88,-0.04
827519,2024-10-24,north,Groceries ,Vacuum Cleaner,5,12.49,0.29
847551,2024-08-05,EAST,home & kitchen,Cricket Bat ,6,41.73,0.49
334497,2024-07-30,South ,home & kitchen,Vacuum Cleaner,20,40.46,0.41
610128,2024-01-20,north,home & kitchen, T-Shirt,4,37.97,0.45
404848,2024-04-05,South ,home & kitchen, T-Shirt,3,14.39,-0.01
759047,2024-07-17,EAST,CLOTHING,Vacuum Cleaner,14,52.75,0.01
424622,2024-12-28,South ,electronics,Vacuum Cleaner,17,36.94,0.24
983447,2024-07-03,EAST,electronics,Vacuum Cleaner,15,,0.38
800505,2024-05-13,west ,SPORTS,Vacuum Cleaner,3,78.58,-0.02
585094,2024-10-13,EAST,Groceries ,Cricket Bat ,7,33.9,0.35
519117,2024-03-30,EAST,electronics,Rice,16,48.27,0.17
679166,2024-11-09,EAST,electronics,Vacuum Cleaner,12,50.21,0.51
873054,2024-07-06,EAST,home & kitchen,Vacuum Cleaner,16,61.98,-0.04
728719,2024-09-10,EAST,home & kitchen,Smartphone ,4,,0.43
923090,2024-10-18,South ,home & kitchen,Cricket Bat ,14,80.96,0.54
659624,2024-11-03,EAST,SPORTS,Vacuum Cleaner,7,44.21,0.16
990982,2024-05-13,north,home & kitchen,Rice,-2,36.31,0.13
668166,2024-09-04,EAST,CLOTHING,Rice,11,20.84,0.42
673973,2024-08-08,north, Beauty, T-Shirt,22,70.6,0.48
852386,2024-07-06,north,home & kitchen,Rice,1,32.05,0.55
103006,2024-08-30,EAST,electronics,Vacuum Cleaner,14,60.83,0.42
644549,2024-05-26,west ,electronics,Rice,17,60.83,0.54
492454,2024-01-26,EAST,home & kitchen,laptop,0,53.18,0.07
273919,2024-04-13,EAST,CLOTHING,Cricket Bat ,20,47.63,0.45
897151,2024-03-10,west ,SPORTS,laptop,1,67.0,0.51
579848,2024-05-29,South ,Groceries ,Cricket Bat ,1,54.93,0.21
848717,2024-07-23,north,SPORTS,laptop,7,33.16,0.48
612174,2024-03-26,South ,home & kitchen,Smartphone ,21,85.08,0.43
404965,2024-11-18,South ,home & kitchen,laptop,11,85.15,0.29
381270,2024-12-17,north, Beauty,laptop,23,68.62,0.23
734619,2024-10-15,west ,SPORTS,Smartphone ,20,37.66,-0.0
613896,2024-03-21,north,CLOTHING,Cricket Bat ,21,88.39,0.52
884083,2024-02-21,EAST, Beauty,Smartphone ,18,34.79,0.27
949979,2024-03-09,west ,Groceries , T-Shirt,1,51.09,0.02
805632,2024-03-06,north, Beauty, T-Shirt,17,32.6,0.35
798696,2024-06-22,South ,electronics,Cricket Bat ,12,21.41,0.36
659731,2024-05-15,South ,Groceries ,Vacuum Cleaner,5,79.41,0.02
183226,2024-07-18,EAST,CLOTHING,Vacuum Cleaner,1,35.51,0.48
119987,2024-10-10,South ,SPORTS,Vacuum Cleaner,4,41.66,0.54
759433,2024-12-19,north,CLOTHING, T-Shirt,22,35.58,0.01
569936,2024-09-18,north,CLOTHING,Rice,9,50.3,0.44
759089,2024-10-01,South ,electronics, T-Shirt,18,62.93,0.01
809308,2024-06-29,South ,electronics,Rice,18,58.05,0.34
891723,2024-07-09,South ,electronics,laptop,14,51.72,0.43
690920,2024-12-16,EAST,SPORTS,Rice,8,50.77,0.03
242526,2024-12-30,South ,CLOTHING,Vacuum Cleaner,12,85.96,-0.04
835504,2024-11-22,north,SPORTS,Cricket Bat ,23,23.49,0.2
730085,2024-07-14,west , Beauty, T-Shirt,11,83.44,0.35
558357,2024-01-21,north,SPORTS,Rice,21,63.45,0.16
592772,2024-09-29,north,Groceries , T-Shirt,7,49.31,0.04
812092,2024-11-04,west , Beauty,Cricket Bat ,19,54.96,0.58
501320,2024-09-20,EAST, Beauty,Rice,8,40.71,0.39
173135,2024-08-12,South ,CLOTHING, T-Shirt,8,58.36,0.07
374844,2024-12-16,EAST,Groceries ,laptop,14,,0.01
402972,2024-01-11,South ,home & kitchen,Cricket Bat ,5,31.31,0.03
766912,2024-08-22,north,CLOTHING, T-Shirt,12,47.58,0.53
945965,2024-11-06,west , Beauty,Vacuum Cleaner,9,49.71,0.23
659526,2024-07-26,north,electronics, T-Shirt,18,74.85,0.24
433265,2024-06-17,west ,electronics,Vacuum Cleaner,21,32.72,0.39
290858,2024-12-23,north,SPORTS,Vacuum Cleaner,14,90.2,0.14
161279,2024-05-29,South ,electronics, T-Shirt,21,38.59,0.46
199983,2024-09-27,north,home & kitchen,Rice,12,44.99,0.23
939374,2024-01-29,west ,SPORTS,laptop,13,41.17,0.37
842363,2024-01-04,EAST,CLOTHING,Rice,22,15.24,0.36
919323,2024-12-02,west ,CLOTHING, T-Shirt,24,44.18,0.16
916429,2024-04-26,west ,home & kitchen,Vacuum Cleaner,14,39.63,0.16
660081,2024-06-11,west ,CLOTHING, T-Shirt,24,48.07,0.36
371271,2024-09-26,west ,SPORTS,Cricket Bat ,2,19.85,0.07
627535,2024-03-20,west ,electronics,Vacuum Cleaner,2,40.73,0.21
405327,2024-01-16,South ,electronics, T-Shirt,22,66.59,0.5
550763,2024-06-09,South ,Groceries ,Vacuum Cleaner,12,46.15,0.54
862081,2024-05-11,west ,electronics,Rice,1,26.78,0.37
905048,2024-02-27,north,electronics,Cricket Bat ,12,74.1,0.17
119145,2024-11-11,EAST,Groceries ,laptop,12,25.76,0.28
136536,2024-06-15,EAST,electronics,Vacuum Cleaner,17,30.87,0.52
854636,2024-01-31,north,SPORTS,laptop,7,51.72,0.41
921672,2024-10-01,north,home & kitchen, T-Shirt,16,46.25,0.06
858161,2024-04-10,EAST,SPORTS,laptop,7,38.89,0.27
852646,2024-02-09,South ,Groceries ,Rice,8,41.3,0.25
222794,2024-11-04,west ,electronics,Vacuum Cleaner,21,81.77,0.06
781688,2024-06-25,north,home & kitchen,laptop,23,29.45,0.46
182454,2024-08-03,South ,Groceries ,Vacuum Cleaner,16,77.82,0.24
235062,2024-03-06,South ,Groceries , T-Shirt,19,56.78,0.3
146840,2024-06-18,west ,electronics, T-Shirt,22,73.47,0.15
863323,2024-01-16,west ,Groceries ,laptop,22,74.95,0.46
360134,2024-07-02,west ,Groceries , T-Shirt,1,46.76,-0.03
650523,2024-07-07,South , Beauty,Rice,16,73.68,0.18
200952,2024-11-30,north,CLOTHING, T-Shirt,15,67.85,0.36
984800,2024-12-22,EAST,electronics,Vacuum Cleaner,16,72.04,0.39
457826,2024-08-13,west , Beauty,Rice,4,64.82,0.41
976942,2024-08-29,west , Beauty,Vacuum Cleaner,10,59.74,0.17
731832,2024-09-18,South ,SPORTS,Rice,5,53.96,0.26
894407,2024-07-29,South ,SPORTS,Cricket Bat ,23,17.63,0.42
471893,2024-07-11,South , Beauty,Cricket Bat ,1,58.23,0.56
587636,2024-02-26,north,Groceries ,Rice,2,56.83,0.57
112501,2024-04-10,South ,electronics,Cricket Bat ,17,100.13,0.07
532482,2024-01-14,EAST,CLOTHING,Vacuum Cleaner,19,65.55,0.25
779727,2024-04-15,west ,CLOTHING,Smartphone ,4,74.5,0.14
666191,2024-08-22,west ,SPORTS,laptop,-1,63.44,0.02
750177,2024-12-01,west , Beauty,laptop,-1,65.26,0.07
699022,2024-03-06,west ,home & kitchen,Smartphone ,0,-1.39,0.36
427585,2024-05-12,north, Beauty,Smartphone ,1,85.58,0.06
274514,2024-02-27,South ,CLOTHING,Rice,11,7.4,0.18
926825,2024-04-09,west ,CLOTHING,Rice,24,37.17,0.23
527580,2024-06-29,EAST,CLOTHING,Cricket Bat ,4,76.32,0.08
769162,2024-01-31,north, Beauty,Cricket Bat ,15,63.17,0.21
206070,2024-11-13,EAST,electronics,Cricket Bat ,14,24.78,0.6
524789,2024-08-23,EAST,SPORTS,Cricket Bat ,1,34.97,0.02
975428,2024-04-06,west , Beauty,laptop,20,58.26,0.0
327270,2024-03-07,north, Beauty,Smartphone ,10,69.12,0.17
677162,2024-02-11,South ,Groceries ,Rice,16,41.14,0.34
653476,2024-03-03,EAST,electronics, T-Shirt,19,53.32,0.01
171983,2024-06-18,EAST,SPORTS,Smartphone ,21,45.96,0.41
400010,2024-11-17,South , Beauty,Cricket Bat ,18,39.49,0.16
310302,2024-01-05,west ,SPORTS, T-Shirt,14,39.31,0.27
855776,2024-12-29,west ,home & kitchen, T-Shirt,1,49.39,0.23
138516,2024-03-07,west ,CLOTHING,laptop,13,51.28,0.03
566863,2024-10-27,west ,Groceries ,Vacuum Cleaner,18,74.69,0.22
284221,2024-04-23,South ,SPORTS,Rice,-1,14.69,0.57
653567,2024-12-19,EAST,SPORTS,Rice,8,70.21,0.17
760055,2024-05-19,South ,Groceries , T-Shirt,-1,40.86,0.44
668423,2024-04-12,South ,SPORTS,Cricket Bat ,7,26.46,0.3
369869,2024-12-01,north,Groceries ,Smartphone ,6,64.54,0.32
889130,2024-04-09,west , Beauty,Vacuum Cleaner,9,36.53,0.57
160817,2024-07-04,west , Beauty,Smartphone ,3,50.8,0.43
110370,2024-07-26,west ,CLOTHING,Rice,8,,0.48
644589,2024-10-13,north,home & kitchen,Smartphone ,22,17.62,0.5
523007,2024-01-14,South ,home & kitchen,Rice,5,55.51,0.35
954614,2024-04-15,north,CLOTHING,Vacuum Cleaner,21,83.63,-0.04
653900,2024-03-29,EAST,electronics, T-Shirt,-1,73.4,0.3
640110,2024-12-28,South ,CLOTHING,Smartphone ,12,72.52,-0.0
502049,2024-06-29,north,SPORTS,Smartphone ,14,35.63,0.32
442798,2024-05-05,EAST, Beauty,Rice,3,72.4,0.42
524082,2024-08-02,EAST,SPORTS,Vacuum Cleaner,11,62.88,0.29
862410,2024-04-09,north, Beauty,Vacuum Cleaner,19,,0.42
416186,2024-10-10,EAST,electronics,Vacuum Cleaner,-2,108.54,0.59
347359,2024-07-09,South ,SPORTS,Vacuum Cleaner,5,68.84,0.45
139962,2024-08-05,west ,electronics, T-Shirt,21,22.84,0.54
356567,2024-09-11,west ,SPORTS,Vacuum Cleaner,0,40.24,0.51
840798,2024-03-12,South , Beauty, T-Shirt,20,25.18,0.13
220138,2024-12-18,north, Beauty,Smartphone ,1,18.55,0.11
252321,2024-07-31,South ,CLOTHING,laptop,10,67.3,0.18
362623,2024-08-12,EAST,electronics,Rice,22,65.99,0.37
348896,2024-07-01,EAST,SPORTS, T-Shirt,19,,0.53
651455,2024-05-03,west ,Groceries ,laptop,16,49.45,0.23
715618,2024-01-15,EAST,electronics, T-Shirt,1,60.01,0.52
701638,2024-07-06,EAST,Groceries ,Rice,-2,80.83,0.2
654681,2024-01-09,north,home & kitchen,laptop,7,52.95,0.39
380148,2024-10-02,west ,CLOTHING,Vacuum Cleaner,-2,63.21,0.14
325525,2024-01-26,north,SPORTS,Vacuum Cleaner,3,88.85,0.41
910348,2024-03-15,EAST,SPORTS,Cricket Bat ,5,,0.14
203211,2024-09-26,north,electronics, T-Shirt,12,32.03,0.52
793280,2024-02-09,South , Beauty,Rice,4,38.65,0.32
239172,2024-06-01,EAST, Beauty,Rice,21,47.19,0.07
533000,2024-02-06,north,SPORTS,Cricket Bat ,7,67.6,0.6
973132,2024-09-17,north,electronics,laptop,7,73.37,0.5
713399,2024-06-04,South ,SPORTS,laptop,0,36.25,0.4
325145,2024-01-11,EAST,CLOTHING, T-Shirt,-1,33.77,0.48
601024,2024-11-18,west ,SPORTS,Cricket Bat ,18,33.71,0.39
751846,2024-10-14,north,SPORTS,Cricket Bat ,20,52.06,0.34
336046,2024-12-02,EAST,CLOTHING,laptop,22,25.9,0.19
261428,2024-08-13,west ,SPORTS,Rice,-2,81.41,0.49
143943,2024-04-21,EAST, Beauty,Rice,20,43.67,0.29
198872,2024-11-25,EAST,SPORTS,laptop,5,,0.55
956470,2024-07-08,EAST,Groceries ,Vacuum Cleaner,20,81.55,0.22
742539,2024-11-18,South ,electronics,Rice,19,70.11,0.51
411799,2024-05-29,north,home & kitchen,Cricket Bat ,4,44.13,0.42
207031,2024-08-28,north, Beauty,laptop,-2,38.62,0.33
626965,2024-10-27,north,SPORTS,Vacuum Cleaner,-2,59.51,0.29
910310,2024-05-15,north,SPORTS,Vacuum Cleaner,18,82.55,-0.0
385569,2024-05-03,north,Groceries ,Cricket Bat ,-2,38.02,0.08
756827,2024-03-26,EAST,SPORTS, T-Shirt,18,,0.53
125452,2024-02-02,South ,SPORTS,laptop,-1,48.93,0.11
787012,2024-08-06,EAST,Groceries ,Rice,22,56.58,0.5
247289,2024-03-14,South , Beauty,laptop,4,70.52,0.54
547405,2024-08-29,west ,home & kitchen, T-Shirt,2,78.54,0.59
349300,2024-02-11,EAST,SPORTS,Vacuum Cleaner,14,56.47,0.2
875989,2024-06-04,EAST,Groceries ,Cricket Bat ,14,20.53,0.17
684423,2024-11-07,west ,electronics,Smartphone ,20,60.63,0.2
670837,2024-01-03,EAST,CLOTHING,laptop,21,37.26,0.56
541668,2024-03-30,north,CLOTHING,laptop,8,52.7,0.53
815856,2024-08-15,South ,CLOTHING,laptop,1,30.0,0.29
623975,2024-09-03,EAST,CLOTHING,Cricket Bat ,8,38.74,0.56
695027,2024-01-19,north, Beauty,Cricket Bat ,-2,55.94,0.48
371066,2024-11-09,EAST, Beauty,Vacuum Cleaner,6,43.29,-0.04
282846,2024-03-18,west ,CLOTHING,Cricket Bat ,21,25.44,0.2
711288,2024-12-03,EAST,CLOTHING,Cricket Bat ,5,40.52,0.07
965335,2024-11-15,north, Beauty,Smartphone ,14,6.6,0.45
687648,2024-08-24,west ,electronics, T-Shirt,13,16.21,0.28
574499,2024-09-14,EAST,SPORTS,laptop,10,65.34,0.13
603262,2024-03-11,South ,home & kitchen,Vacuum Cleaner,13,43.12,-0.03
826911,2024-04-03,west ,electronics,Vacuum Cleaner,13,56.88,0.44
302910,2024-02-21,EAST, Beauty,Cricket Bat ,20,53.64,0.19
970259,2024-04-28,north,CLOTHING,Vacuum Cleaner,13,37.38,0.16
827595,2024-01-27,South ,electronics,Vacuum Cleaner,20,,0.51
801665,2024-09-14,north,home & kitchen,Rice,8,69.81,0.58
388777,2024-04-03,South ,Groceries ,Cricket Bat ,8,64.27,0.33
875939,2024-04-16,north,SPORTS,Smartphone ,4,53.85,0.47
699088,2024-03-08,north,SPORTS,Smartphone ,6,57.69,0.21
202200,2024-09-10,north,CLOTHING,Vacuum Cleaner,17,37.75,0.17
505173,2024-01-22,north,SPORTS,Rice,1,49.95,0.11
110915,2024-12-06,EAST,CLOTHING,Smartphone ,24,39.0,0.53
791260,2024-06-16,South ,electronics,Rice,21,48.65,0.43
645145,2024-07-12,EAST,Groceries ,laptop,3,26.6,0.47
808665,2024-11-14,South ,CLOTHING,Rice,24,63.48,0.23
858318,2024-06-15,South ,CLOTHING, T-Shirt,7,35.58,0.6
492340,2024-09-16,South ,home & kitchen,Smartphone ,8,54.23,0.37
532122,2024-04-10,west ,SPORTS,Cricket Bat ,21,52.19,0.21
761590,2024-12-05,South ,home & kitchen,Cricket Bat ,13,,0.29
493571,2024-09-11,west ,CLOTHING,Vacuum Cleaner,7,48.77,0.28
237592,2024-01-05,South ,CLOTHING,laptop,6,18.2,0.42
927716,2024-12-29,EAST,electronics,laptop,-1,61.55,0.33
474989,2024-07-26,west ,CLOTHING,Cricket Bat ,16,55.62,0.37
978716,2024-08-19,South ,CLOTHING,Cricket Bat ,13,22.68,0.0
606622,2024-06-04,north, Beauty,Rice,12,48.52,0.54
189507,2024-02-29,South ,SPORTS,Vacuum Cleaner,21,73.7,0.54
508952,2024-02-15,EAST,Groceries , T-Shirt,14,59.89,0.33
678669,2024-06-09,EAST,CLOTHING,Cricket Bat ,17,,0.05
268727,2024-07-26,EAST,electronics,laptop,23,63.74,0.49
522966,2024-08-31,north,electronics,laptop,7,56.36,0.27
508626,2024-11-04,west ,electronics,Smartphone ,0,12.55,0.41
929271,2024-12-20,South ,CLOTHING,Vacuum Cleaner,10,28.7,0.04
183804,2024-01-05,South ,Groceries ,Smartphone ,8,43.33,0.46
563605,2024-01-19,north,CLOTHING,Smartphone ,2,57.11,0.23
304182,2024-05-27,EAST,CLOTHING,laptop,5,,0.2
390013,2024-10-08,north, Beauty,laptop,6,86.43,0.04
511516,2024-08-05,EAST,CLOTHING,Rice,12,56.46,0.36
721650,2024-04-28,EAST,home & kitchen, T-Shirt,-2,57.22,0.03
597706,2024-08-14,EAST,home & kitchen,Rice,24,,0.31
971873,2024-01-11,west ,Groceries ,Rice,19,66.57,0.43
671923,2024-12-08,west , Beauty,laptop,20,58.86,-0.02
350916,2024-06-30,EAST, Beauty,laptop,0,29.21,0.45
631497,2024-06-08,South ,Groceries ,laptop,20,65.86,0.03
936580,2024-01-08,west ,home & kitchen,Cricket Bat ,23,74.67,0.38
